App,Category,Description,Auth Method,Credential Requirement,Self Serve,API Type,API Surface,MCP,Buildability,Blocker,Evidence URL,Confidence,Needs Review,Issues,confidence,manual_review
Salesforce,CRM and Sales,Salesforce provides a comprehensive platform for customer relationship management and sales.,OAuth 2.0,OAuth credentials,Self Serve,REST,Large,Unknown,Yes,,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart.htm, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm, https://developer.salesforce.com/docs/apis",87,False,[],0,False
HubSpot,CRM and Sales,Build custom CRM and data-driven website experiences on HubSpot.,OAuth 2.0,OAuth credentials,Self Serve,REST,Small,Unknown,Yes,,"https://developers.hubspot.com/docs/api-reference/latest/overview, https://developers.hubspot.com/docs, https://developers.hubspot.com/",87,False,[],0,False
Pipedrive,CRM and Sales,Pipedrive is a sales management tool that helps businesses streamline their sales processes and close deals efficiently.,OAuth 2.0,OAuth credentials,Self Serve,REST,Unknown,Unknown,Yes,,"https://developers.pipedrive.com/docs/api/v1, https://developers.pipedrive.com/, https://developers.pipedrive.com/docs/api/v1/Oauth",74,False,[],0,False
Attio,CRM and Sales,"Attio is a revolutionary CRM platform which is highly customisable, incredibly powerful and data-driven.","OAuth 2.0, API key","API key, OAuth credentials",Self Serve,REST,Unknown,Unknown,Yes,,"https://docs.attio.com/rest-api/overview, https://docs.attio.com/docs/overview, https://docs.attio.com/rest-api/guides/authentication",69,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Twenty,CRM and Sales,Twenty is an open-source CRM.,API key,API key,Self Serve,REST,Unknown,Unknown,Yes,,"https://docs.twenty.com/developers/extend/api, https://developers.klaviyo.com/en/reference/api_overview, https://developers.login.gov/",74,False,[],0,False
Podio,CRM and Sales,"Podio is a cloud-based platform for managing work, projects, and teams with customizable workflows and collaboration tools.",API key,API key,Self Serve,REST,Medium,Unknown,Yes,,"https://developers.podio.com/, https://developers.podio.com/doc, https://developers.podio.com/examples",87,False,[],0,False
Zoho CRM,CRM and Sales,Zoho CRM is a sales and marketing software that helps businesses manage customer relationships and sales processes.,OAuth 2.0,API key,Self Serve,REST,Medium,Unknown,Yes,,"https://www.zoho.com/crm/developer/docs/api/v8/, https://www.zoho.com/crm/developer/docs/api/v8/oauth-overview.html, https://help.zoho.com/portal/en/community/topic/setting-up-the-api-key",87,False,[],0,False
Close,CRM and Sales,"Close is a CRM and sales platform that helps businesses manage leads, contacts, and opportunities.","OAuth 2.0, API key","API key, OAuth credentials",Self Serve,REST,Unknown,Unknown,Yes,,"https://developer.close.com/api/overview, https://developer.okta.com/docs/reference/api/authn/, https://developers.kit.com/api-reference/authentication",69,True,"['credential_requirement must be one of: API key, API token, Access token, Developer account + Connected App + OAuth, Internal Integration Token, OAuth credentials, Personal access token, Programmatic API Key, Secret API Key, Service Account Key, Unknown']",0,False
Copper,CRM and Sales,"Copper is a CRM and sales platform that helps businesses manage contacts, sales, and customer relationships.",API key,API key,Self Serve,REST,Medium,Unknown,Yes,,"https://developer.copper.com/, https://developer.copper.co/api-reference/authentication, https://developer.copper.com/introduction/oauth/flow.html",87,False,[],0,False
DealCloud,CRM and Sales,DealCloud is a CRM and sales platform that streamlines deal management and collaboration processes.,API key,API key,Self Serve,REST,Medium,Yes,Yes,,"https://api.docs.dealcloud.com/, https://api.docs.dealcloud.com/docs/apikeys, https://api.docs.dealcloud.com/docs",95,False,[],0,False
